player_id,team_id,jersey_no,player_name,posi_to_play,dir_of_bir,age,playing_club,match_no,team_id,player_id,in_out,time_in_out,play_schedule,play_half
160102,1205,17,Marek Suchy,DF,3/29/1988,28,Basel,10,1203,160058,I,76,NT,2
160112,1205,18,Josef Sural,MF,5/30/1990,26,Sparta Praha,10,1203,160051,O,76,NT,2
160106,1205,19,Ladislav Krejci,MF,7/5/1992,23,Sparta Praha,10,1211,160238,I,58,NT,2
160111,1205,20,Jiri Skalak,MF,3/12/1992,24,Brighton,10,1211,160237,O,58,NT,2
160113,1205,21,David Lafata,FD,9/18/1981,34,Sparta Praha,10,1211,160250,I,75,NT,2
160103,1205,22,Vladimir Darida,MF,8/8/1990,25,Hertha,10,1211,160248,O,75,NT,2
160094,1205,23,TomasKoubek,GK,8/26/1992,23,Liberec,10,1211,160245,I,78,NT,2
160117,1206,1,Joe Hart,GK,4/19/1987,29,Man. City,10,1211,160242,O,78,NT,2
160125,1206,2,Kyle Walker,DF,5/28/1990,26,Tottenham,11,1202,160041,I,59,NT,2
160122,1206,3,Danny Rose,DF,7/2/1990,25,Tottenham,11,1202,160040,O,59,NT,2
160131,1206,4,James Milner,MF,1/4/1986,30,Liverpool,11,1202,160046,I,65,NT,2
160120,1206,5,Gary Cahill,DF,12/19/1985,30,Chelsea,11,1202,160045,O,65,NT,2
160123,1206,6,Chris Smalling,DF,11/22/1989,26,Man. United,11,1202,160042,I,77,NT,2
160132,1206,7,Raheem Sterling,MF,12/8/1994,21,Man. City,11,1202,160037,O,77,NT,2
160130,1206,8,Adam Lallana,MF,5/10/1988,28,Liverpool,11,1209,160206,I,69,NT,2
160134,1206,9,Harry Kane,FD,7/28/1993,22,Tottenham,11,1209,160207,O,69,NT,2
160136,1206,10,Wayne Rooney,FD,10/24/1985,30,Man. United,11,1209,160200,I,79,NT,2
160138,1206,11,Jamie Vardy,FD,1/11/1987,29,Leicester,11,1209,160197,O,79,NT,2
160121,1206,12,Nathaniel Clyne,DF,4/5/1991,25,Liverpool,11,1209,160195,I,89,NT,2
160116,1206,13,Fraser Forster,GK,3/17/1988,28,Southampton,11,1209,160204,O,89,NT,2
160129,1206,14,Jordan Henderson,MF,6/17/1990,26,Liverpool,12,1210,160227,I,81,NT,2
160137,1206,15,Daniel Sturridge,FD,9/1/1989,26,Liverpool,12,1210,160230,O,81,NT,2
160124,1206,16,John Stones,DF,5/28/1994,22,Everton,12,1210,160211,I,90,NT,2
160128,1206,17,Eric Dier,MF,1/15/1994,22,Tottenham,12,1210,160229,O,90,NT,2
160133,1206,18,Jack Wilshere,MF,1/1/1992,24,Arsenal,12,1214,160316,I,71,NT,2
160127,1206,19,Ross Barkley,MF,12/5/1993,22,Everton,12,1214,160314,O,71,NT,2
160126,1206,20,Dele Alli,MF,4/11/1996,20,Tottenham,12,1214,160321,I,76,NT,2
160119,1206,21,Ryan Bertrand,DF,8/5/1989,26,Southampton,12,1214,160313,O,76,NT,2
160135,1206,22,Marcus Rashford,FD,10/31/1997,18,Man. United,12,1214,160319,I,84,NT,2
160118,1206,23,Tom Heaton,GK,4/15/1986,30,Burnley,12,1214,160311,O,84,NT,2
160140,1207,1,Hugo Lloris,GK,12/26/1986,29,Tottenham,13,1217,160380,I,46,NT,2
